{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.12, 'coef0': 0.34, 'C': 6, 'epsilon': 0.36, 'rsme': 9.165940954334042}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.29, 'coef0': 0.8, 'C': 96, 'epsilon': 0.48, 'rsme': 1573.4116572864602}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.17, 'coef0': 0.77, 'C': 42, 'epsilon': 0.32, 'rsme': 8.441093575448344}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.92, 'coef0': 0.96, 'C': 13, 'epsilon': 0.3, 'rsme': 8.07586457109386}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.63, 'coef0': 0.64, 'C': 2, 'epsilon': 0.33, 'rsme': 148.1359128217071}
{'kernel': 'sigmoid', 'degree': 4, 'gamma': 0.43, 'coef0': 0.28, 'C': 3, 'epsilon': 0.47, 'rsme': 10.281984239379085}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.81, 'coef0': 0.63, 'C': 68, 'epsilon': 0.2, 'rsme': 7.240282065597409}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.27, 'coef0': 0.38, 'C': 11, 'epsilon': 0.24, 'rsme': 119.14512660663365}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.26, 'coef0': 0.66, 'C': 61, 'epsilon': 0.35, 'rsme': 825.9713254438143}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.95, 'coef0': 0.28, 'C': 20, 'epsilon': 0.15, 'rsme': 7.127153378722441}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.78, 'coef0': 0.23, 'C': 52, 'epsilon': 0.14, 'rsme': 3738.350505073188}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.97, 'coef0': 0.93, 'C': 98, 'epsilon': 0.19, 'rsme': 7.215057399793212}
{'kernel': 'rbf', 'degree': 2, 'gamma': 0.71, 'coef0': 0.91, 'C': 48, 'epsilon': 0.32, 'rsme': 7.824382008004185}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.89, 'coef0': 0.99, 'C': 8, 'epsilon': 0.34, 'rsme': 8.283873350340338}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.41, 'coef0': 0.13, 'C': 59, 'epsilon': 0.25, 'rsme': 7.889581780175674}
{'kernel': 'rbf', 'degree': 3, 'gamma': 0.12, 'coef0': 0.96, 'C': 77, 'epsilon': 0.37, 'rsme': 8.230905951365969}
