,criterion,splitter,max_depth,max_features,rsme
485,mae,random,,0.77,0.09733034012592137
486,mse,random,4.0,0.94,0.09637429792847724
487,mse,best,4.0,0.96,0.0989050320935118
488,mse,best,8.0,0.92,0.10343450866516114
489,mse,best,8.0,0.47,0.09723822192709473
490,friedman_mse,best,7.0,0.62,0.09710797367407946
491,friedman_mse,random,2.0,0.2,0.09498124731520738
492,friedman_mse,best,6.0,0.83,0.09858536466384281
493,friedman_mse,random,6.0,0.98,0.10891060910915897
494,friedman_mse,best,3.0,0.63,0.09824820945074426
495,friedman_mse,best,4.0,0.72,0.09628172996107746
496,mse,random,6.0,0.55,0.09507620371382587
497,mse,random,4.0,0.56,0.09537592666671481
498,mae,best,6.0,0.3,0.0983746133849127
499,mse,best,,0.1,0.2882216911806503
500,mse,best,1.0,0.36,0.09629493855270024
501,mse,best,3.0,0.23,0.09632861178885131
502,mse,best,6.0,0.23,0.09690397541776151
503,friedman_mse,random,2.0,0.84,0.09528472296271617
504,mse,best,8.0,0.58,0.09822088826855832
505,mae,random,1.0,0.6,0.09717740520020544
506,mse,best,9.0,0.16,0.09791414784863353
507,mae,best,4.0,0.27,0.09810729651328537
508,friedman_mse,random,6.0,0.41,0.09817496421140964
509,mae,best,7.0,0.95,0.09797656602159152
510,friedman_mse,best,1.0,0.98,0.09724908546645859
511,mse,random,1.0,0.69,0.0966114618467881
512,mae,random,2.0,0.33,0.09684560353738225
513,friedman_mse,random,3.0,0.32,0.0952013657688185
514,friedman_mse,random,7.0,0.67,0.15365015090262318
515,mse,random,5.0,0.48,0.09805159725544327
516,mse,best,7.0,0.99,0.13635262883292806
517,friedman_mse,best,,0.57,0.09693392699294832
518,mse,best,6.0,0.64,0.0974144915956879
519,mae,best,6.0,0.57,0.09898973642266913
520,mse,best,6.0,0.46,0.09725352582389518
521,mse,best,2.0,0.25,0.09605040950217705
522,friedman_mse,best,8.0,0.95,0.1494438792265015
523,mae,best,3.0,0.65,0.10032773187401742
524,friedman_mse,best,8.0,0.78,0.09749248503055738
525,mse,random,1.0,0.26,0.09584080464858946
526,friedman_mse,random,7.0,0.43,0.09542390155510448
527,mae,random,8.0,0.33,0.09608711957624454
528,mae,random,5.0,0.64,0.09531991625307903
529,mae,best,2.0,0.55,0.09741822888076417
530,mse,best,1.0,0.55,0.09653381296903109
531,friedman_mse,best,8.0,0.49,0.10425640636834074
532,mae,random,4.0,0.7,0.09494218721817956
533,mae,random,7.0,0.41,0.09644292129603856
534,mse,best,9.0,0.71,0.10557304282070831
535,mse,random,,0.32,0.1815213804982447
536,friedman_mse,best,3.0,0.36,0.10464668606853654
537,mae,random,3.0,0.65,0.09674969985300033
538,mse,best,5.0,0.81,0.09948329213221005
539,friedman_mse,best,9.0,0.3,0.09747724081983752
540,friedman_mse,best,2.0,0.4,0.09693658293405284
541,mae,best,3.0,0.62,0.0962389356564514
542,friedman_mse,random,9.0,0.65,0.09670409991463795
543,mse,random,,0.52,0.09653982164846119
544,friedman_mse,best,9.0,0.76,0.09873410784537293
545,friedman_mse,random,8.0,0.22,0.09891898042910025
546,mse,best,4.0,0.83,0.10600634736504361
547,friedman_mse,best,9.0,0.36,0.09909336452806915
548,mae,best,2.0,0.64,0.09455361813987741
549,mae,best,6.0,0.58,0.10337930343840973
550,friedman_mse,best,9.0,0.56,0.09820357909709979
551,mse,best,6.0,0.32,0.09964212802640977
552,mae,random,2.0,0.27,0.09665062541858409
