,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,random_state,rsme
434,mse,1.0,0.37,0.25,518,41,0.09602694899865849
435,mse,66.0,0.4,0.63,270,24,0.0963468530909857
436,mse,37.0,0.48,0.24,611,82,0.0977549161425019
437,mae,20.0,0.18,0.94,500,63,0.09763924736960572
438,mae,13.0,0.6,0.82,439,14,0.09705889511227658
439,mse,19.0,0.84,0.67,38,50,0.09700361281122173
440,mae,36.0,0.5,0.71,81,38,0.09640568545546867
441,mse,60.0,0.85,0.99,660,49,0.09747286620844388
442,mae,59.0,0.77,0.73,893,27,0.09538186852711444
443,mse,4.0,0.77,0.25,458,60,0.09739081606905356
444,mse,46.0,0.34,0.98,28,83,0.09731003640808174
445,mse,61.0,0.53,0.29,80,66,0.09692690795653222
446,mae,37.0,0.72,0.57,233,74,0.0969939137158081
447,mse,12.0,0.72,0.14,560,23,0.09660673812571421
448,mse,10.0,0.37,0.9,19,62,0.09666595012064907
449,mae,,0.27,0.23,739,76,0.09624153881341047
450,mse,31.0,0.14,0.26,867,35,0.09615055260556983
451,mae,59.0,0.16,0.35,65,82,0.09620810235603455
452,mae,93.0,0.67,0.93,714,29,0.09759503376571654
453,mae,98.0,0.54,0.3,451,71,0.09723391303161208
454,mse,22.0,0.96,0.71,527,98,0.09666087508456954
455,mse,80.0,0.92,0.2,129,84,0.09496874313610768
456,mse,2.0,0.15,0.81,695,58,0.0964656609176588
457,mse,94.0,0.45,0.2,371,11,0.095903479095791
458,mse,87.0,0.34,0.64,741,59,0.0957552506721447
459,mse,46.0,0.37,0.93,663,13,0.09635889507267352
460,mse,53.0,0.37,0.66,676,22,0.09739621212412541
